	gold	prediction	proportion
0	p	b	0.0222
1	o	u	0.0207
2	j	-	0.0176
3	u	o	0.0141
4	ʔ̚	ʔ	0.014
5	³	²	0.0138
6	h	-	0.0133
7	³	¹	0.0129
8	a	ɨ	0.0128
9	-	r	0.0121
10	a	-	0.0118
11	i	ɨ	0.0115
12	r	j	0.0112
13	k	g	0.0108
14	ɔ	o	0.0104
15	ɨ	i	0.0103
16	e	i	0.0097
17	i	-	0.0095
18	r	-	0.0093
19	⁰	¹¹	0.0089
20	s	sʰ	0.0085
21	i	a	0.0084
22	-	ŋ	0.0084
23	ŋ	-	0.0083
24	ts	t	0.0082
25	-	k	0.0079
26	n	n̥	0.007
27	¹	³	0.0069
28	t	d	0.0069
29	e	ɨ	0.0068
30	ɛ	a	0.0067
31	²	¹	0.0067
32	ˀn	n	0.0066
33	iː	ɪ	0.0066
34	-	j	0.0065
35	-	u	0.0064
36	ɛ	eː	0.0063
37	-	ɨ	0.0062
38	aː	a	0.0062
39	ˀp	b	0.0059
40	l̥	l	0.0057
41	a̠	a	0.0056
42	a	aː	0.0056
43	ai	i	0.0055
44	¹	²	0.0053
45	u	a	0.0052
46	eː	ɛ	0.0052
47	o	ə	0.0051
48	t	ˀk	0.005
49	⁴	¹	0.005
50	t	k	0.005
51	n	-	0.0049
52	ɪ	iː	0.0048
53	ŋ	n	0.0047
54	-	a	0.0045
55	-	w	0.0045
56	m̥	m	0.0045
57	oː	ɔ	0.0045
58	j	r	0.0044
59	²	³	0.0044
60	-	h	0.0043
61	ˀk	g	0.0042
62	ˀs	s	0.0042
63	t	p	0.0042
64	-	i	0.0041
65	ə	ɨ	0.004
66	⁴	²	0.0039
67	w	-	0.0038
68	i	i̠	0.0038
69	ɯ	j	0.0038
70	ɴ	ŋ	0.0038
71	⁰	⁵¹	0.0038
72	n	m	0.0037
73	ˀŋ	ŋ	0.0036
74	n	ŋ	0.0036
75	m	-	0.0036
76	i	j	0.0036
77	a	i	0.0035
78	ɔ	oː	0.0035
79	a	ɛ	0.0034
80	x	χ	0.0033
81	-	ɛ	0.0033
82	uː	ʊ	0.0033
83	ʔ	-	0.0032
84	ˀl	l	0.0032
85	n	ɴ	0.0032
86	c	ɟ	0.0032
87	ʃ	s	0.0031
88	-	⁴	0.003
89	e	a	0.0029
90	a	e	0.0029
91	ʊ	-	0.0028
92	v	ˀv	0.0028
93	ʈ	tʲ	0.0028
94	ɛ	ɪ	0.0028
95	ts	tʃ	0.0027
96	¹	⁴	0.0027
97	e	ɛ	0.0027
