	gold	prediction	proportion
0	iː	ɪ	0.0395
1	ɛ	eː	0.0377
2	aː	a	0.0371
3	a	aː	0.0333
4	eː	ɛ	0.0312
5	ɪ	iː	0.029
6	oː	ɔ	0.0272
7	ɔ	oː	0.021
8	-	ɛ	0.02
9	uː	ʊ	0.02
10	ɛ	ɪ	0.0169
11	ʊ	uː	0.0161
12	m	-	0.0155
13	h	-	0.0141
14	j	-	0.0125
15	iː	ɛ	0.0123
16	ɛ	-	0.0123
17	-	r	0.0119
18	ɪ	ɛ	0.0119
19	-	m	0.0117
20	ʊ	-	0.0115
21	ɪ	-	0.0111
22	ɔ	ʊ	0.0105
23	k	-	0.0097
24	ʊ	ɔ	0.0095
25	ŋ	n	0.0087
26	n	-	0.0083
27	m	n	0.0081
28	-	ʊ	0.0081
29	t	k	0.0077
30	t	-	0.0075
31	ɛ	iː	0.0067
32	kʰ	k	0.0067
33	lː	l	0.0067
34	-	j	0.006
35	eː	ɪ	0.006
36	aɪ	eː	0.0054
37	aː	-	0.0054
38	sː	s	0.0052
39	-	k	0.0052
40	aɪ	ɛ	0.0052
41	n	ŋ	0.005
42	ɪ	eː	0.005
43	nː	n	0.0048
44	ɛ	a	0.0048
45	s	-	0.0046
46	ɪ	j	0.0046
47	-	n	0.0044
48	kʷ	k	0.0044
49	l	-	0.0042
50	oː	ʊ	0.0042
51	y	ɪ	0.0042
52	ɛ	aː	0.0042
53	ʊ	oː	0.004
54	ʊ	ɛ	0.004
55	r	-	0.004
56	j	g	0.004
57	a	-	0.004
58	tʰ	t	0.004
59	-	ɪ	0.0038
60	ʊ	ɪ	0.0038
61	pʰ	f	0.0036
62	-	t	0.0034
63	k	t	0.0034
64	rː	r	0.0034
65	k	g	0.0034
66	ɛ	ʊ	0.0034
67	aː	ɛ	0.0034
68	a	ɛ	0.0032
69	b	w	0.0032
70	t	d	0.003
71	mː	m	0.003
72	eː	-	0.003
73	eː	iː	0.003
74	kː	k	0.003
75	-	s	0.003
76	ɔ	-	0.0028
77	p	-	0.0028
78	w	b	0.0028
79	s	m	0.0028
80	ɛ	aɪ	0.0026
81	m	s	0.0026
82	g	-	0.0026
83	aː	eː	0.0026
84	-	l	0.0024
85	ɛ	r	0.0024
86	s	ɛ	0.0024
87	d	-	0.0024
88	-	a	0.0024
89	b	-	0.0022
90	s	k	0.0022
91	ɛu	ʊ	0.0022
92	a	ʊ	0.0022
93	ʊ	a	0.0022
94	eː	aː	0.0022
95	s	r	0.0022
96	pː	p	0.002
97	m	ɛ	0.002
98	s	sː	0.002
99	n	r	0.002
100	k	s	0.0018
101	l	lː	0.0018
102	r	l	0.0018
103	ɛ	j	0.0018
104	uː	h	0.0018
105	n	m	0.0018
106	r	ɛ	0.0018
107	-	aː	0.0018
108	m	l	0.0018
109	y	iː	0.0018
110	w	-	0.0018
111	g	k	0.0016
112	ɪ	k	0.0016
113	t	r	0.0016
114	r	m	0.0016
115	ɛ	k	0.0016
116	eː	aɪ	0.0016
117	l	r	0.0016
118	g	j	0.0016
119	gː	g	0.0016
120	j	ɪ	0.0016
121	d	t	0.0016
122	k	kː	0.0016
123	iː	-	0.0014
124	iː	j	0.0014
