	gold	prediction	proportion
0	³	²	0.0503
1	p	b	0.0402
2	e	i	0.0402
3	ˀp	b	0.0352
4	i	a	0.0302
5	t	ˀk	0.0302
6	ˀk	g	0.0251
7	j	r	0.0251
8	³	¹	0.0251
9	ai	i	0.0251
10	ɛ	a	0.0251
11	ˀs	s	0.0251
12	ˀn	n	0.0251
13	t	p	0.0251
14	j	-	0.0201
15	ˀŋ	ŋ	0.0201
16	n	m	0.0201
17	ts	tʃ	0.0151
18	ˀj	j	0.0151
19	²	¹	0.0151
20	-	⁴	0.0151
21	ʔ	-	0.0151
22	⁴	²	0.0151
23	ˀl	l	0.0151
24	ui	u	0.0151
25	a	i	0.0151
26	k	ˀk	0.0101
27	i	-	0.0101
28	⁴	¹	0.0101
29	²	³	0.0101
30	o	u	0.0101
31	u	a	0.0101
32	k	ŋ	0.0101
33	k	p	0.0101
34	r	j	0.0101
35	ˀtʃ	dʒ	0.0101
36	ʊ	u	0.0101
37	dz	dʒ	0.0101
38	t	k	0.0101
39	-	ŋ	0.0101
40	ˀt	d	0.0101
41	ɛ	i	0.0101
42	ˀk	k	0.0101
43	ˀr	ʃ	0.0101
44	ʃ	s	0.0101
45	-	k	0.005
46	¹	⁴	0.005
47	-	j	0.005
48	k	m	0.005
49	ˀn	j	0.005
50	¹	³	0.005
51	tʃ	dʒ	0.005
52	ˀts	tʃ	0.005
53	ˀɲ	ŋ	0.005
54	ˀm	m	0.005
55	ˀts	dz	0.005
56	e	j	0.005
57	k	-	0.005
58	³	⁴	0.005
59	i	ai	0.005
60	o	a	0.005
61	ɲ	j	0.005
62	u	ai	0.005
63	dz	m	0.005
64	¹	²	0.005
65	ui	i	0.005
66	s	ʃ	0.005
67	ŋ	m	0.005
68	dz	b	0.005
69	ʔ	m	0.005
70	d	dz	0.005
71	m	ŋ	0.005
72	ˀts	s	0.005
73	ˀt	ˀk	0.005
74	-	³	0.005
75	g	ˀk	0.005
76	n	ŋ	0.005
77	¹	ŋ	0.005
78	ʊ	-	0.005
79	d	ˀt	0.005
80	m	-	0.005
81	j	l	0.005
