	gold	prediction	proportion
0	ʔ̚	ʔ	0.084
1	k	g	0.0573
2	⁰	¹¹	0.0534
3	p	b	0.0496
4	n	n̥	0.042
5	u	o	0.042
6	l̥	l	0.0344
7	o	ə	0.0305
8	m̥	m	0.0267
9	ɴ	ŋ	0.0229
10	⁰	⁵¹	0.0229
11	-	w	0.0229
12	t	d	0.0191
13	n	ɴ	0.0191
14	c	ɟ	0.0191
15	u	a	0.0153
16	⁵⁵	¹¹	0.0153
17	o	ɔ	0.0153
18	ɨ	ə	0.0115
19	ɔ	o	0.0115
20	a	ɛ	0.0115
21	ə	ɨ	0.0115
22	t	ʔ̚	0.0115
23	r̥	r	0.0115
24	u	ou	0.0115
25	k̚	ʔ	0.0115
26	l	w	0.0076
27	ou	ɨ	0.0076
28	t̚	ʔ̚	0.0076
29	ʔ	ʔ̚	0.0076
30	w	-	0.0076
31	p	pʰ	0.0076
32	ŋ	ɴ	0.0076
33	u	w	0.0076
34	ə	a	0.0076
35	ɔ	ə	0.0076
36	ɛ	a	0.0076
37	ɴ	m	0.0076
38	u	r	0.0076
39	ai	i	0.0076
40	ei	e	0.0038
41	ˀb	p	0.0038
42	-	ə	0.0038
43	n̥	ˀn	0.0038
44	b	p	0.0038
45	kʰ	g	0.0038
46	ˀl	l	0.0038
47	-	ʔ	0.0038
48	¹¹	⁵¹	0.0038
49	kʰ	cʰ	0.0038
50	i	ei	0.0038
51	-	j	0.0038
52	p	ˀb	0.0038
53	m	ɴ	0.0038
54	i	e	0.0038
55	ʔ̚	-	0.0038
56	³³	¹¹	0.0038
57	ʔ̚	¹¹	0.0038
58	a	e	0.0038
59	ˀb	b	0.0038
60	k̚	g	0.0038
61	ə	i	0.0038
62	⁰	⁵⁵	0.0038
63	ʔ	-	0.0038
64	u	ə	0.0038
65	n	ŋ	0.0038
66	au	o	0.0038
67	j	-	0.0038
68	t̚	b	0.0038
69	k	w	0.0038
70	t̚	p	0.0038
71	⁵⁵	⁵¹	0.0038
72	-	ʔ̚	0.0038
73	³³	⁵¹	0.0038
74	ɛ	e	0.0038
75	t	r	0.0038
76	kʰ	-	0.0038
77	r	s	0.0038
78	m	ŋ	0.0038
79	ŋ̊	ŋ	0.0038
80	h	-	0.0038
81	-	ɴ	0.0038
82	-	⁵¹	0.0038
83	ei	i	0.0038
84	c	cʰ	0.0038
85	u	ɨ	0.0038
86	kʰ	s	0.0038
87	r	w	0.0038
88	ou	-	0.0038
89	j	i	0.0038
90	au	ɔ	0.0038
91	ɨ	o	0.0038
92	ŋ	ɲ̊	0.0038
93	ai	e	0.0038
94	ɛi	e	0.0038
