	gold	prediction	proportion
0	³	¹	0.0502
1	j	-	0.0455
2	¹	³	0.0335
3	u	a	0.0311
4	²	¹	0.0311
5	ŋ	-	0.0311
6	³	²	0.0311
7	e	i	0.0287
8	a̠	a	0.0287
9	¹	²	0.0191
10	i̠	i	0.0167
11	n	ˀn	0.0144
12	a	u	0.0144
13	ɛ̠	ɛ	0.0144
14	-	ŋ	0.012
15	u	o	0.0096
16	e	e̠	0.0096
17	²	³	0.0096
18	e	ɛ	0.0096
19	o	i	0.0096
20	ˀm	m	0.0096
21	u	e̠	0.0072
22	-	j	0.0072
23	i	e	0.0072
24	y	a	0.0072
25	u	i̠	0.0072
26	i	u	0.0072
27	u	i	0.0072
28	i	ɨ	0.0072
29	ʃ	s	0.0072
30	ɛ̠	e̠	0.0072
31	tʃʰ	kʰ	0.0072
32	ɛ̠	a	0.0072
33	ˀx	x	0.0072
34	o̠	u	0.0072
35	o̠	a	0.0072
36	i	e̠	0.0072
37	kʰ	tʰ	0.0048
38	ɛ	a	0.0048
39	b	p	0.0048
40	ɨ̠	i̠	0.0048
41	j	a	0.0048
42	a	ŋ	0.0048
43	j	o̠	0.0048
44	a	a̠	0.0048
45	ɨ	i	0.0048
46	a	ɛ	0.0048
47	ɣ	ʒ	0.0048
48	v	p	0.0048
49	t	tʰ	0.0048
50	e	-	0.0048
51	i̠	j	0.0048
52	x	g	0.0048
53	i	j	0.0048
54	a	j	0.0048
55	x	ɣ	0.0048
56	ɛ̠	a̠	0.0048
57	m̩	m	0.0048
58	-	u	0.0048
59	ɨ̠	ɨ	0.0048
60	i	i̠	0.0048
61	v	pʰ	0.0048
62	ˀl	l	0.0048
63	n̩	n	0.0048
64	-	i	0.0048
65	t	d	0.0048
66	ɨ	o	0.0048
67	y	i	0.0048
68	dz	dʒ	0.0048
69	a	i	0.0048
70	a	o	0.0048
71	u	o̠	0.0048
72	e̠	ɛ	0.0048
73	ˀn	n	0.0048
74	o̠	y	0.0024
75	pʰ	ˀv	0.0024
76	³³	³	0.0024
77	ɨ	a̠	0.0024
78	ɨ̠	u	0.0024
79	tʃ	tʃʰ	0.0024
80	s	k	0.0024
81	ɛ	a̠	0.0024
82	i	ŋ	0.0024
83	i̠	o	0.0024
84	b	ʒ	0.0024
85	ɛ	i̠	0.0024
86	e	ɨ	0.0024
87	j	ɲ	0.0024
88	e	j	0.0024
89	s	h	0.0024
90	i̠	ɨ	0.0024
91	tsʰ	tʃʰ	0.0024
92	o	ɨ	0.0024
93	e̠	u	0.0024
94	e̠	i	0.0024
95	ŋ	e̠	0.0024
96	y	u	0.0024
97	u̠	i̠	0.0024
98	tʃʰ	ts	0.0024
99	g	-	0.0024
100	j	tʃ	0.0024
101	ʃ	k	0.0024
102	k	tʃ	0.0024
103	u	ɨ	0.0024
104	h	ʃ	0.0024
105	ɛ	-	0.0024
106	v	b	0.0024
107	o	y	0.0024
108	e̠	j	0.0024
109	ɛ	o	0.0024
110	ɨ	ɨ̠	0.0024
111	d	tsʰ	0.0024
112	ɣ	s	0.0024
113	u	e	0.0024
114	³	ŋ	0.0024
115	ɨ	ɿ	0.0024
116	²¹	²	0.0024
117	a	e	0.0024
118	tʃʰ	dʒ	0.0024
119	tʰ	tʃʰ	0.0024
120	y̠	ɨ	0.0024
121	o	a	0.0024
122	y̠	j	0.0024
123	ɛ	ɿ	0.0024
124	n	ɲ	0.0024
125	i̠	e̠	0.0024
126	ɨ	o̠	0.0024
127	dʒ	d	0.0024
128	ɛ	u	0.0024
129	m	ˀm	0.0024
130	dz	k	0.0024
131	ɨ̠	i	0.0024
132	ɨ	u	0.0024
133	h	s	0.0024
134	ɛ	e̠	0.0024
135	i	y	0.0024
136	ɛ̠	o	0.0024
137	i̠	ɿ	0.0024
138	ɲ	n	0.0024
139	ˀx	h	0.0024
140	y	e	0.0024
141	a	-	0.0024
142	y	e̠	0.0024
143	ɣ	x	0.0024
144	u	ɨ̠	0.0024
145	b	pʰ	0.0024
146	ɣ	h	0.0024
147	a̠	e̠	0.0024
148	tʃ	ts	0.0024
149	k	tsʰ	0.0024
150	i̠	ɨ̠	0.0024
151	ʒ	s	0.0024
152	o	ɛ	0.0024
153	dz	ts	0.0024
154	y	o̠	0.0024
155	l	ˀl	0.0024
156	o̠	e̠	0.0024
157	tʰ	t	0.0024
158	u	y	0.0024
159	g	ɣ	0.0024
160	s	g	0.0024
161	ɿ	u	0.0024
162	y	-	0.0024
163	tsʰ	s	0.0024
164	g	dz	0.0024
165	u̠	u	0.0024
166	e̠	ŋ	0.0024
167	a	e̠	0.0024
168	dʒ	k	0.0024
169	e̠	-	0.0024
170	ˀŋ	ɲ	0.0024
171	j	i̠	0.0024
172	o	u	0.0024
173	tʃ	tsʰ	0.0024
174	e̠	e	0.0024
175	g	k	0.0024
176	ŋ	n	0.0024
177	g	tsʰ	0.0024
